"role","degree_order","avg_ordered_degree"
"Manufacturer",1,37.9
"Manufacturer",2,33.7
"Manufacturer",3,31.8
"Manufacturer",4,30.25
"Manufacturer",5,28.65
"Manufacturer",6,27.75
"Manufacturer",7,26.4
"Manufacturer",8,25.4
"Manufacturer",9,24.55
"Manufacturer",10,23.1
"Manufacturer",11,22.25
"Manufacturer",12,21.3
"Manufacturer",13,20.05
"Manufacturer",14,19.15
"Manufacturer",15,18.5
"Manufacturer",16,17.25
"Manufacturer",17,16.5
"Manufacturer",18,15.5
"Manufacturer",19,14.25
"Manufacturer",20,13.45
"Manufacturer",21,12.6
"Manufacturer",22,11.9
"Manufacturer",23,11.15
"Manufacturer",24,10.6
"Manufacturer",25,10.1
"Manufacturer",26,9.7
"Manufacturer",27,9
"Manufacturer",28,8.85
"Manufacturer",29,8.6
"Manufacturer",30,8.3
"Manufacturer",31,7.85
"Manufacturer",32,7.15
"Manufacturer",33,6.2
"Retailer",1,23.05
"Retailer",2,17.65
"Retailer",3,14.5
"Retailer",4,13.3
"Retailer",5,12.5
"Retailer",6,11.7
"Retailer",7,11.35
"Retailer",8,10.5
"Retailer",9,10.2
"Retailer",10,9.85
"Retailer",11,9.55
"Retailer",12,9.15
"Retailer",13,8.8
"Retailer",14,8.6
"Retailer",15,8.5
"Retailer",16,8.35
"Retailer",17,8.05
"Retailer",18,7.85
"Retailer",19,7.65
"Retailer",20,7.35
"Retailer",21,7.2
"Retailer",22,7
"Retailer",23,6.85
"Retailer",24,6.6
"Retailer",25,6.4
"Retailer",26,6.15
"Retailer",27,6
"Retailer",28,5.85
"Retailer",29,5.6
"Retailer",30,5.6
"Retailer",31,5.1
"Retailer",32,4.8
"Retailer",33,4.3
"Retailer",34,3.65
"Supplier",1,22
"Supplier",2,16.55
"Supplier",3,14.55
"Supplier",4,13.1
"Supplier",5,12.25
"Supplier",6,11.65
"Supplier",7,11
"Supplier",8,10.45
"Supplier",9,10.1
"Supplier",10,9.75
"Supplier",11,9.55
"Supplier",12,9.25
"Supplier",13,8.95
"Supplier",14,8.7
"Supplier",15,8.4
"Supplier",16,8.2
"Supplier",17,7.95
"Supplier",18,7.75
"Supplier",19,7.55
"Supplier",20,7.35
"Supplier",21,7.2
"Supplier",22,6.9
"Supplier",23,6.6
"Supplier",24,6.45
"Supplier",25,6.35
"Supplier",26,6.05
"Supplier",27,5.85
"Supplier",28,5.8
"Supplier",29,5.4
"Supplier",30,5.15
"Supplier",31,5.05
"Supplier",32,4.7
"Supplier",33,3.6
