"role","degree_order","avg_ordered_degree"
"Manufacturer",1,43.15
"Manufacturer",2,39.35
"Manufacturer",3,37.2
"Manufacturer",4,35.95
"Manufacturer",5,34.65
"Manufacturer",6,33.35
"Manufacturer",7,32.05
"Manufacturer",8,30.85
"Manufacturer",9,29.5
"Manufacturer",10,28.3
"Manufacturer",11,26.95
"Manufacturer",12,26.15
"Manufacturer",13,25.3
"Manufacturer",14,24.6
"Manufacturer",15,23.7
"Manufacturer",16,23.25
"Manufacturer",17,22.6
"Manufacturer",18,21.65
"Manufacturer",19,21.1
"Manufacturer",20,20.55
"Manufacturer",21,20
"Manufacturer",22,19.3
"Manufacturer",23,18.9
"Manufacturer",24,18.2
"Manufacturer",25,17.4
"Manufacturer",26,16.95
"Manufacturer",27,16.55
"Manufacturer",28,16.1
"Manufacturer",29,15.55
"Manufacturer",30,14.95
"Manufacturer",31,14.3
"Manufacturer",32,13.2
"Manufacturer",33,12.1
"Retailer",1,24.15
"Retailer",2,20.35
"Retailer",3,18.75
"Retailer",4,17.5
"Retailer",5,16.8
"Retailer",6,16.1
"Retailer",7,15.45
"Retailer",8,14.6
"Retailer",9,13.5
"Retailer",10,13.15
"Retailer",11,12.85
"Retailer",12,12.6
"Retailer",13,12.15
"Retailer",14,11.95
"Retailer",15,11.5
"Retailer",16,11.4
"Retailer",17,11.05
"Retailer",18,10.85
"Retailer",19,10.7
"Retailer",20,10.6
"Retailer",21,10.4
"Retailer",22,10.25
"Retailer",23,9.9
"Retailer",24,9.55
"Retailer",25,9.25
"Retailer",26,9
"Retailer",27,8.7
"Retailer",28,8.45
"Retailer",29,8
"Retailer",30,7.7
"Retailer",31,7.25
"Retailer",32,6.9
"Retailer",33,6.35
"Retailer",34,5.15
"Supplier",1,22.95
"Supplier",2,20.35
"Supplier",3,18.8
"Supplier",4,17.8
"Supplier",5,16.85
"Supplier",6,16
"Supplier",7,15.25
"Supplier",8,14.75
"Supplier",9,13.9
"Supplier",10,13.2
"Supplier",11,12.7
"Supplier",12,12.45
"Supplier",13,12.1
"Supplier",14,11.75
"Supplier",15,11.5
"Supplier",16,11.25
"Supplier",17,10.9
"Supplier",18,10.65
"Supplier",19,10.6
"Supplier",20,10.2
"Supplier",21,9.95
"Supplier",22,9.8
"Supplier",23,9.5
"Supplier",24,9.25
"Supplier",25,8.85
"Supplier",26,8.7
"Supplier",27,8.55
"Supplier",28,8.1
"Supplier",29,7.8
"Supplier",30,7.3
"Supplier",31,7.1
"Supplier",32,6.4
"Supplier",33,5.6
