"role","degree_order","avg_ordered_degree"
"Manufacturer",1,44.05
"Manufacturer",2,41.6
"Manufacturer",3,39.05
"Manufacturer",4,37.25
"Manufacturer",5,35.45
"Manufacturer",6,34.3
"Manufacturer",7,33.45
"Manufacturer",8,32.2
"Manufacturer",9,31.05
"Manufacturer",10,30.4
"Manufacturer",11,29.4
"Manufacturer",12,28.6
"Manufacturer",13,26.7
"Manufacturer",14,25.5
"Manufacturer",15,24.85
"Manufacturer",16,23.95
"Manufacturer",17,22.95
"Manufacturer",18,22.3
"Manufacturer",19,21.6
"Manufacturer",20,20.95
"Manufacturer",21,20.25
"Manufacturer",22,19.8
"Manufacturer",23,19.2
"Manufacturer",24,18.85
"Manufacturer",25,18.35
"Manufacturer",26,18.15
"Manufacturer",27,17.7
"Manufacturer",28,16.95
"Manufacturer",29,16.25
"Manufacturer",30,15.65
"Manufacturer",31,15.1
"Manufacturer",32,14.05
"Manufacturer",33,13.15
"Retailer",1,25.45
"Retailer",2,21.7
"Retailer",3,19.8
"Retailer",4,18.6
"Retailer",5,17.45
"Retailer",6,16.85
"Retailer",7,15.75
"Retailer",8,15.5
"Retailer",9,14.95
"Retailer",10,14.45
"Retailer",11,13.8
"Retailer",12,13.4
"Retailer",13,13
"Retailer",14,12.55
"Retailer",15,12.2
"Retailer",16,11.8
"Retailer",17,11.25
"Retailer",18,10.85
"Retailer",19,10.55
"Retailer",20,10.35
"Retailer",21,10
"Retailer",22,9.95
"Retailer",23,9.8
"Retailer",24,9.45
"Retailer",25,9.1
"Retailer",26,8.85
"Retailer",27,8.7
"Retailer",28,8.45
"Retailer",29,8.1
"Retailer",30,7.55
"Retailer",31,7.25
"Retailer",32,6.8
"Retailer",33,6.25
"Retailer",34,5.15
"Supplier",1,23.7
"Supplier",2,20.85
"Supplier",3,19.4
"Supplier",4,18.3
"Supplier",5,17.5
"Supplier",6,17.1
"Supplier",7,16.5
"Supplier",8,15.9
"Supplier",9,15.2
"Supplier",10,14.55
"Supplier",11,14.1
"Supplier",12,13.6
"Supplier",13,13.25
"Supplier",14,12.75
"Supplier",15,12.45
"Supplier",16,12.25
"Supplier",17,11.75
"Supplier",18,11.5
"Supplier",19,11.15
"Supplier",20,11
"Supplier",21,10.45
"Supplier",22,10.2
"Supplier",23,9.8
"Supplier",24,9.6
"Supplier",25,9.3
"Supplier",26,9.1
"Supplier",27,8.7
"Supplier",28,8.4
"Supplier",29,8.05
"Supplier",30,7.45
"Supplier",31,7.1
"Supplier",32,6.65
"Supplier",33,5.8
