"role","degree_order","avg_ordered_degree"
"Manufacturer",1,46.9
"Manufacturer",2,42.65
"Manufacturer",3,41.05
"Manufacturer",4,39.15
"Manufacturer",5,38.15
"Manufacturer",6,37.05
"Manufacturer",7,35.65
"Manufacturer",8,34.2
"Manufacturer",9,32.9
"Manufacturer",10,31.8
"Manufacturer",11,30.45
"Manufacturer",12,29.75
"Manufacturer",13,28.55
"Manufacturer",14,27.55
"Manufacturer",15,26.7
"Manufacturer",16,25.6
"Manufacturer",17,24.7
"Manufacturer",18,23.85
"Manufacturer",19,23.35
"Manufacturer",20,22.55
"Manufacturer",21,21.4
"Manufacturer",22,20.4
"Manufacturer",23,19.75
"Manufacturer",24,19.05
"Manufacturer",25,18.7
"Manufacturer",26,18.3
"Manufacturer",27,17.9
"Manufacturer",28,17.25
"Manufacturer",29,16.7
"Manufacturer",30,16.2
"Manufacturer",31,15.8
"Manufacturer",32,14.85
"Manufacturer",33,13.1
"Retailer",1,26.45
"Retailer",2,23.65
"Retailer",3,22.15
"Retailer",4,20.5
"Retailer",5,19.35
"Retailer",6,18.2
"Retailer",7,17.75
"Retailer",8,16.65
"Retailer",9,15.75
"Retailer",10,15
"Retailer",11,14.45
"Retailer",12,14
"Retailer",13,13.4
"Retailer",14,12.9
"Retailer",15,12.45
"Retailer",16,12
"Retailer",17,11.7
"Retailer",18,11.2
"Retailer",19,10.85
"Retailer",20,10.55
"Retailer",21,10.25
"Retailer",22,10.1
"Retailer",23,9.75
"Retailer",24,9.7
"Retailer",25,9.3
"Retailer",26,9
"Retailer",27,8.7
"Retailer",28,8.45
"Retailer",29,8.05
"Retailer",30,7.6
"Retailer",31,7.35
"Retailer",32,6.9
"Retailer",33,6.45
"Retailer",34,5.55
"Supplier",1,26.55
"Supplier",2,23.6
"Supplier",3,21.85
"Supplier",4,20.65
"Supplier",5,19.15
"Supplier",6,18.35
"Supplier",7,17.7
"Supplier",8,16.55
"Supplier",9,15.95
"Supplier",10,15.1
"Supplier",11,14.6
"Supplier",12,14.35
"Supplier",13,14
"Supplier",14,13.1
"Supplier",15,12.8
"Supplier",16,12.25
"Supplier",17,11.85
"Supplier",18,11.4
"Supplier",19,10.95
"Supplier",20,10.65
"Supplier",21,10.5
"Supplier",22,10.4
"Supplier",23,10.2
"Supplier",24,10
"Supplier",25,9.75
"Supplier",26,9.15
"Supplier",27,8.9
"Supplier",28,8.7
"Supplier",29,8.5
"Supplier",30,8
"Supplier",31,7.5
"Supplier",32,6.8
"Supplier",33,6.05
