"role","degree_order","avg_ordered_degree"
"Manufacturer",1,46.55
"Manufacturer",2,42
"Manufacturer",3,40.45
"Manufacturer",4,38.7
"Manufacturer",5,37.45
"Manufacturer",6,35.5
"Manufacturer",7,34.65
"Manufacturer",8,33.35
"Manufacturer",9,32.6
"Manufacturer",10,31.65
"Manufacturer",11,30.8
"Manufacturer",12,30
"Manufacturer",13,29.15
"Manufacturer",14,28.25
"Manufacturer",15,27.3
"Manufacturer",16,26.6
"Manufacturer",17,26
"Manufacturer",18,24.75
"Manufacturer",19,23.95
"Manufacturer",20,22.9
"Manufacturer",21,22.05
"Manufacturer",22,21.65
"Manufacturer",23,20.65
"Manufacturer",24,20.05
"Manufacturer",25,19.45
"Manufacturer",26,19.05
"Manufacturer",27,18.55
"Manufacturer",28,18.1
"Manufacturer",29,17.7
"Manufacturer",30,17.15
"Manufacturer",31,16.5
"Manufacturer",32,15.7
"Manufacturer",33,14
"Retailer",1,26.6
"Retailer",2,23.45
"Retailer",3,22.3
"Retailer",4,21.1
"Retailer",5,19.6
"Retailer",6,18.3
"Retailer",7,17.15
"Retailer",8,16.55
"Retailer",9,15.8
"Retailer",10,15.25
"Retailer",11,15
"Retailer",12,14.35
"Retailer",13,13.95
"Retailer",14,13.35
"Retailer",15,12.9
"Retailer",16,12.45
"Retailer",17,12.05
"Retailer",18,11.6
"Retailer",19,11.2
"Retailer",20,10.95
"Retailer",21,10.6
"Retailer",22,10.35
"Retailer",23,10.05
"Retailer",24,9.85
"Retailer",25,9.65
"Retailer",26,9.45
"Retailer",27,9.15
"Retailer",28,8.75
"Retailer",29,8.45
"Retailer",30,8.1
"Retailer",31,7.75
"Retailer",32,7.3
"Retailer",33,6.8
"Retailer",34,6
"Supplier",1,26.7
"Supplier",2,23.15
"Supplier",3,21.5
"Supplier",4,20.55
"Supplier",5,19.55
"Supplier",6,18.7
"Supplier",7,17.65
"Supplier",8,17.1
"Supplier",9,16.1
"Supplier",10,15.5
"Supplier",11,15
"Supplier",12,13.9
"Supplier",13,13.35
"Supplier",14,13.2
"Supplier",15,12.6
"Supplier",16,12.15
"Supplier",17,11.85
"Supplier",18,11.6
"Supplier",19,11.25
"Supplier",20,10.95
"Supplier",21,10.55
"Supplier",22,10.5
"Supplier",23,10.2
"Supplier",24,9.85
"Supplier",25,9.5
"Supplier",26,9.25
"Supplier",27,9.05
"Supplier",28,8.85
"Supplier",29,8.65
"Supplier",30,8.1
"Supplier",31,7.65
"Supplier",32,6.85
"Supplier",33,5.7
