"role","degree_order","avg_ordered_degree"
"Manufacturer",1,48.9
"Manufacturer",2,44.6
"Manufacturer",3,40.35
"Manufacturer",4,37.05
"Manufacturer",5,35.45
"Manufacturer",6,33.6
"Manufacturer",7,32.35
"Manufacturer",8,31.35
"Manufacturer",9,30.1
"Manufacturer",10,28.65
"Manufacturer",11,27.35
"Manufacturer",12,26.25
"Manufacturer",13,25.45
"Manufacturer",14,24.7
"Manufacturer",15,23.8
"Manufacturer",16,22.35
"Manufacturer",17,21.3
"Manufacturer",18,20.55
"Manufacturer",19,19.65
"Manufacturer",20,18.45
"Manufacturer",21,17.8
"Manufacturer",22,17
"Manufacturer",23,16.1
"Manufacturer",24,15.45
"Manufacturer",25,15
"Manufacturer",26,14.7
"Manufacturer",27,14.25
"Manufacturer",28,13.7
"Manufacturer",29,13.3
"Manufacturer",30,12.9
"Manufacturer",31,12.5
"Manufacturer",32,12.1
"Manufacturer",33,11
"Retailer",1,28.2
"Retailer",2,24.9
"Retailer",3,22.6
"Retailer",4,20.55
"Retailer",5,18.7
"Retailer",6,17.1
"Retailer",7,15.15
"Retailer",8,13.95
"Retailer",9,12.85
"Retailer",10,12.25
"Retailer",11,11.65
"Retailer",12,11.3
"Retailer",13,10.95
"Retailer",14,10.4
"Retailer",15,10.2
"Retailer",16,10.05
"Retailer",17,9.7
"Retailer",18,9.45
"Retailer",19,9.2
"Retailer",20,8.85
"Retailer",21,8.75
"Retailer",22,8.5
"Retailer",23,8.05
"Retailer",24,7.85
"Retailer",25,7.65
"Retailer",26,7.5
"Retailer",27,7.2
"Retailer",28,7
"Retailer",29,6.75
"Retailer",30,6.5
"Retailer",31,6.2
"Retailer",32,5.9
"Retailer",33,5.55
"Retailer",34,4.95
"Supplier",1,28
"Supplier",2,24.3
"Supplier",3,22.25
"Supplier",4,20.55
"Supplier",5,18.95
"Supplier",6,17.25
"Supplier",7,16.15
"Supplier",8,14.45
"Supplier",9,13.7
"Supplier",10,12.85
"Supplier",11,12.4
"Supplier",12,11.9
"Supplier",13,11.4
"Supplier",14,11
"Supplier",15,10.95
"Supplier",16,10.6
"Supplier",17,10.15
"Supplier",18,9.8
"Supplier",19,9.45
"Supplier",20,9.3
"Supplier",21,9.05
"Supplier",22,8.75
"Supplier",23,8.55
"Supplier",24,8.3
"Supplier",25,8.05
"Supplier",26,7.7
"Supplier",27,7.5
"Supplier",28,7.2
"Supplier",29,6.95
"Supplier",30,6.6
"Supplier",31,6.25
"Supplier",32,5.9
"Supplier",33,5.5
