"role","degree_order","avg_ordered_degree"
"Manufacturer",1,44.65
"Manufacturer",2,42.1
"Manufacturer",3,39.5
"Manufacturer",4,38.45
"Manufacturer",5,37
"Manufacturer",6,35.65
"Manufacturer",7,34.45
"Manufacturer",8,33.8
"Manufacturer",9,33
"Manufacturer",10,32.05
"Manufacturer",11,31.35
"Manufacturer",12,30.15
"Manufacturer",13,28.9
"Manufacturer",14,28.1
"Manufacturer",15,27.1
"Manufacturer",16,26.4
"Manufacturer",17,26.3
"Manufacturer",18,25.45
"Manufacturer",19,24.55
"Manufacturer",20,23.75
"Manufacturer",21,23.05
"Manufacturer",22,22.45
"Manufacturer",23,22.1
"Manufacturer",24,21.5
"Manufacturer",25,21.15
"Manufacturer",26,20.6
"Manufacturer",27,20.2
"Manufacturer",28,19.8
"Manufacturer",29,19.05
"Manufacturer",30,18.3
"Manufacturer",31,17.35
"Manufacturer",32,16.05
"Manufacturer",33,14.55
"Retailer",1,25.3
"Retailer",2,21.85
"Retailer",3,20.35
"Retailer",4,19.05
"Retailer",5,17.95
"Retailer",6,17.5
"Retailer",7,16.95
"Retailer",8,16.35
"Retailer",9,15.7
"Retailer",10,15.35
"Retailer",11,15
"Retailer",12,14.65
"Retailer",13,14.45
"Retailer",14,13.9
"Retailer",15,13.5
"Retailer",16,13.25
"Retailer",17,12.95
"Retailer",18,12.55
"Retailer",19,12.2
"Retailer",20,11.95
"Retailer",21,11.8
"Retailer",22,11.55
"Retailer",23,11.2
"Retailer",24,10.9
"Retailer",25,10.65
"Retailer",26,10.45
"Retailer",27,10.1
"Retailer",28,9.85
"Retailer",29,9.35
"Retailer",30,9.1
"Retailer",31,8.75
"Retailer",32,8.1
"Retailer",33,7.65
"Retailer",34,6.5
"Supplier",1,24.8
"Supplier",2,21.7
"Supplier",3,20.2
"Supplier",4,19
"Supplier",5,17.95
"Supplier",6,16.9
"Supplier",7,16.65
"Supplier",8,16
"Supplier",9,15.55
"Supplier",10,15.05
"Supplier",11,14.65
"Supplier",12,14.25
"Supplier",13,13.95
"Supplier",14,13.55
"Supplier",15,13.15
"Supplier",16,12.8
"Supplier",17,12.55
"Supplier",18,12.4
"Supplier",19,12.15
"Supplier",20,11.85
"Supplier",21,11.6
"Supplier",22,11.4
"Supplier",23,11
"Supplier",24,10.6
"Supplier",25,10.5
"Supplier",26,10.25
"Supplier",27,9.85
"Supplier",28,9.75
"Supplier",29,9.45
"Supplier",30,8.95
"Supplier",31,8.45
"Supplier",32,8.05
"Supplier",33,7.2
