"role","degree_order","avg_ordered_degree"
"Manufacturer",1,44.6
"Manufacturer",2,40.3
"Manufacturer",3,36.65
"Manufacturer",4,34.7
"Manufacturer",5,32.55
"Manufacturer",6,31
"Manufacturer",7,29.9
"Manufacturer",8,28.65
"Manufacturer",9,26.9
"Manufacturer",10,25.9
"Manufacturer",11,24.6
"Manufacturer",12,23.55
"Manufacturer",13,22.45
"Manufacturer",14,21.25
"Manufacturer",15,20.05
"Manufacturer",16,19.3
"Manufacturer",17,18.35
"Manufacturer",18,17
"Manufacturer",19,15.8
"Manufacturer",20,14.3
"Manufacturer",21,13.3
"Manufacturer",22,12.55
"Manufacturer",23,11.8
"Manufacturer",24,11.05
"Manufacturer",25,10.25
"Manufacturer",26,9.95
"Manufacturer",27,9.25
"Manufacturer",28,8.9
"Manufacturer",29,8.45
"Manufacturer",30,7.95
"Manufacturer",31,7.55
"Manufacturer",32,7
"Manufacturer",33,5.9
"Retailer",1,44.1
"Retailer",2,40.95
"Retailer",3,38.15
"Retailer",4,34.9
"Retailer",5,33.3
"Retailer",6,31.15
"Retailer",7,29.3
"Retailer",8,27.8
"Retailer",9,26.4
"Retailer",10,25.7
"Retailer",11,24.6
"Retailer",12,24
"Retailer",13,23.2
"Retailer",14,22.45
"Retailer",15,21.75
"Retailer",16,21.05
"Retailer",17,20.4
"Retailer",18,19.45
"Retailer",19,19.15
"Retailer",20,18.5
"Retailer",21,17.6
"Retailer",22,16.3
"Retailer",23,15.35
"Retailer",24,14.6
"Retailer",25,13.95
"Retailer",26,13.25
"Retailer",27,12.6
"Retailer",28,12.05
"Retailer",29,11.35
"Retailer",30,10.8
"Retailer",31,9.95
"Retailer",32,9.45
"Retailer",33,8.55
"Retailer",34,8.05
"Supplier",1,29.45
"Supplier",2,26.25
"Supplier",3,24.05
"Supplier",4,22.15
"Supplier",5,20.6
"Supplier",6,19.6
"Supplier",7,18.9
"Supplier",8,18.15
"Supplier",9,17.2
"Supplier",10,16.25
"Supplier",11,16
"Supplier",12,15.55
"Supplier",13,14.55
"Supplier",14,14.1
"Supplier",15,13.6
"Supplier",16,13.15
"Supplier",17,12.7
"Supplier",18,12.35
"Supplier",19,12.1
"Supplier",20,11.85
"Supplier",21,11.65
"Supplier",22,11.35
"Supplier",23,11.25
"Supplier",24,10.9
"Supplier",25,10.55
"Supplier",26,10.4
"Supplier",27,10.05
"Supplier",28,9.7
"Supplier",29,9.1
"Supplier",30,8.75
"Supplier",31,8.2
"Supplier",32,7.6
"Supplier",33,6.9
