"role","degree_order","avg_ordered_degree"
"Manufacturer",1,39.1
"Manufacturer",2,35.15
"Manufacturer",3,31.9
"Manufacturer",4,29.7
"Manufacturer",5,27.7
"Manufacturer",6,25.85
"Manufacturer",7,24.6
"Manufacturer",8,23.25
"Manufacturer",9,21.9
"Manufacturer",10,20.65
"Manufacturer",11,19.35
"Manufacturer",12,17.95
"Manufacturer",13,16.6
"Manufacturer",14,15.95
"Manufacturer",15,14.75
"Manufacturer",16,13.8
"Manufacturer",17,13
"Manufacturer",18,11.4
"Manufacturer",19,10.3
"Manufacturer",20,9.5
"Manufacturer",21,8.75
"Manufacturer",22,8.25
"Manufacturer",23,7.85
"Manufacturer",24,7.35
"Manufacturer",25,7.05
"Manufacturer",26,6.85
"Manufacturer",27,6.6
"Manufacturer",28,6.3
"Manufacturer",29,6
"Manufacturer",30,5.6
"Manufacturer",31,5.4
"Manufacturer",32,4.9
"Manufacturer",33,4.4
"Retailer",1,37.5
"Retailer",2,33.15
"Retailer",3,31.5
"Retailer",4,28.9
"Retailer",5,27.15
"Retailer",6,26.05
"Retailer",7,24.85
"Retailer",8,23.9
"Retailer",9,22.85
"Retailer",10,22.1
"Retailer",11,21.4
"Retailer",12,20.15
"Retailer",13,19.05
"Retailer",14,18.05
"Retailer",15,17.15
"Retailer",16,16.45
"Retailer",17,15.65
"Retailer",18,14.75
"Retailer",19,14.2
"Retailer",20,13.55
"Retailer",21,12.75
"Retailer",22,12.45
"Retailer",23,11.85
"Retailer",24,11.35
"Retailer",25,10.8
"Retailer",26,10.35
"Retailer",27,9.95
"Retailer",28,9.25
"Retailer",29,9.05
"Retailer",30,8.45
"Retailer",31,7.75
"Retailer",32,7.25
"Retailer",33,6.4
"Retailer",34,5.05
"Supplier",1,29.05
"Supplier",2,25.65
"Supplier",3,23.25
"Supplier",4,21.8
"Supplier",5,19.8
"Supplier",6,18.15
"Supplier",7,16.35
"Supplier",8,15.15
"Supplier",9,14.35
"Supplier",10,13.25
"Supplier",11,12.6
"Supplier",12,12.15
"Supplier",13,11.55
"Supplier",14,11.15
"Supplier",15,10.45
"Supplier",16,10.1
"Supplier",17,9.7
"Supplier",18,9.6
"Supplier",19,9.3
"Supplier",20,9.05
"Supplier",21,8.75
"Supplier",22,8.45
"Supplier",23,8.2
"Supplier",24,8
"Supplier",25,7.9
"Supplier",26,7.8
"Supplier",27,7.6
"Supplier",28,7.4
"Supplier",29,7.1
"Supplier",30,6.95
"Supplier",31,6.5
"Supplier",32,6
"Supplier",33,5.45
