"role","degree_order","avg_ordered_degree"
"Manufacturer",1,34.25
"Manufacturer",2,29.9
"Manufacturer",3,27.85
"Manufacturer",4,26.2
"Manufacturer",5,24.1
"Manufacturer",6,22.45
"Manufacturer",7,21
"Manufacturer",8,19.65
"Manufacturer",9,18.85
"Manufacturer",10,17.5
"Manufacturer",11,16.05
"Manufacturer",12,14.9
"Manufacturer",13,13.55
"Manufacturer",14,12.9
"Manufacturer",15,11.95
"Manufacturer",16,11.05
"Manufacturer",17,10.35
"Manufacturer",18,9.85
"Manufacturer",19,9.3
"Manufacturer",20,8.65
"Manufacturer",21,8.25
"Manufacturer",22,7.45
"Manufacturer",23,7.15
"Manufacturer",24,6.75
"Manufacturer",25,6.4
"Manufacturer",26,6.25
"Manufacturer",27,5.95
"Manufacturer",28,5.7
"Manufacturer",29,5.5
"Manufacturer",30,5.2
"Manufacturer",31,4.8
"Manufacturer",32,4.5
"Manufacturer",33,4.05
"Retailer",1,35.1
"Retailer",2,30.4
"Retailer",3,28.85
"Retailer",4,26
"Retailer",5,24.8
"Retailer",6,23.25
"Retailer",7,21.85
"Retailer",8,20.7
"Retailer",9,19.8
"Retailer",10,18.85
"Retailer",11,17.9
"Retailer",12,16.6
"Retailer",13,15.9
"Retailer",14,15.05
"Retailer",15,14.05
"Retailer",16,13.5
"Retailer",17,13
"Retailer",18,12.55
"Retailer",19,12
"Retailer",20,11.4
"Retailer",21,10.75
"Retailer",22,10.2
"Retailer",23,9.65
"Retailer",24,9.4
"Retailer",25,8.9
"Retailer",26,8.65
"Retailer",27,8.2
"Retailer",28,7.95
"Retailer",29,7.8
"Retailer",30,7.2
"Retailer",31,6.7
"Retailer",32,6.35
"Retailer",33,5.75
"Retailer",34,4.55
"Supplier",1,28.05
"Supplier",2,22.5
"Supplier",3,19.3
"Supplier",4,17.3
"Supplier",5,16.2
"Supplier",6,15.3
"Supplier",7,14.45
"Supplier",8,13.35
"Supplier",9,12.45
"Supplier",10,11.8
"Supplier",11,11.25
"Supplier",12,10.8
"Supplier",13,10.45
"Supplier",14,9.9
"Supplier",15,9.7
"Supplier",16,9.4
"Supplier",17,9.2
"Supplier",18,8.95
"Supplier",19,8.8
"Supplier",20,8.75
"Supplier",21,8.4
"Supplier",22,8.15
"Supplier",23,8
"Supplier",24,7.7
"Supplier",25,7.6
"Supplier",26,7.4
"Supplier",27,7.25
"Supplier",28,6.95
"Supplier",29,6.55
"Supplier",30,6.2
"Supplier",31,5.75
"Supplier",32,5.5
"Supplier",33,4.9
