"role","degree_order","avg_ordered_degree"
"Manufacturer",1,31.65
"Manufacturer",2,27.95
"Manufacturer",3,25.4
"Manufacturer",4,23.8
"Manufacturer",5,21.55
"Manufacturer",6,19.8
"Manufacturer",7,18.65
"Manufacturer",8,17.6
"Manufacturer",9,16.7
"Manufacturer",10,15.1
"Manufacturer",11,12.8
"Manufacturer",12,11.6
"Manufacturer",13,10.95
"Manufacturer",14,10.35
"Manufacturer",15,9.9
"Manufacturer",16,9.15
"Manufacturer",17,8.6
"Manufacturer",18,8
"Manufacturer",19,7.65
"Manufacturer",20,7.45
"Manufacturer",21,7.15
"Manufacturer",22,6.7
"Manufacturer",23,6.3
"Manufacturer",24,6
"Manufacturer",25,5.9
"Manufacturer",26,5.55
"Manufacturer",27,5.3
"Manufacturer",28,5.2
"Manufacturer",29,4.7
"Manufacturer",30,4.45
"Manufacturer",31,4.2
"Manufacturer",32,4.05
"Manufacturer",33,3.55
"Retailer",1,30.8
"Retailer",2,28.5
"Retailer",3,27
"Retailer",4,25
"Retailer",5,23.25
"Retailer",6,21.35
"Retailer",7,20.05
"Retailer",8,19.05
"Retailer",9,17.9
"Retailer",10,16.95
"Retailer",11,15.9
"Retailer",12,15.15
"Retailer",13,14.35
"Retailer",14,13.9
"Retailer",15,13.1
"Retailer",16,12.3
"Retailer",17,11.45
"Retailer",18,10.95
"Retailer",19,10.4
"Retailer",20,10
"Retailer",21,9.5
"Retailer",22,9.15
"Retailer",23,8.65
"Retailer",24,8.4
"Retailer",25,8.3
"Retailer",26,8
"Retailer",27,7.35
"Retailer",28,7.05
"Retailer",29,6.45
"Retailer",30,6.25
"Retailer",31,6.05
"Retailer",32,5.65
"Retailer",33,5.15
"Retailer",34,4.2
"Supplier",1,26.4
"Supplier",2,19.85
"Supplier",3,16.95
"Supplier",4,15.5
"Supplier",5,14.25
"Supplier",6,13.15
"Supplier",7,12.3
"Supplier",8,11.9
"Supplier",9,11.6
"Supplier",10,11
"Supplier",11,10.75
"Supplier",12,10.3
"Supplier",13,9.95
"Supplier",14,9.65
"Supplier",15,9.45
"Supplier",16,9.2
"Supplier",17,8.9
"Supplier",18,8.55
"Supplier",19,8.4
"Supplier",20,8.2
"Supplier",21,7.9
"Supplier",22,7.65
"Supplier",23,7.45
"Supplier",24,7.35
"Supplier",25,7.2
"Supplier",26,6.8
"Supplier",27,6.55
"Supplier",28,6.35
"Supplier",29,6
"Supplier",30,5.8
"Supplier",31,5.65
"Supplier",32,5.3
"Supplier",33,4.45
