"role","degree_order","avg_ordered_degree"
"Manufacturer",1,38.3
"Manufacturer",2,34.95
"Manufacturer",3,32.05
"Manufacturer",4,30
"Manufacturer",5,28.4
"Manufacturer",6,27.05
"Manufacturer",7,25.95
"Manufacturer",8,25.05
"Manufacturer",9,23.65
"Manufacturer",10,22.45
"Manufacturer",11,21.35
"Manufacturer",12,20.2
"Manufacturer",13,18.75
"Manufacturer",14,18.1
"Manufacturer",15,17.1
"Manufacturer",16,16.15
"Manufacturer",17,14.85
"Manufacturer",18,14.2
"Manufacturer",19,13.2
"Manufacturer",20,12.65
"Manufacturer",21,12.1
"Manufacturer",22,11.4
"Manufacturer",23,10.85
"Manufacturer",24,10.5
"Manufacturer",25,10.1
"Manufacturer",26,9.75
"Manufacturer",27,9.5
"Manufacturer",28,8.95
"Manufacturer",29,8.35
"Manufacturer",30,7.9
"Manufacturer",31,7.55
"Manufacturer",32,6.8
"Manufacturer",33,5.7
"Retailer",1,39.5
"Retailer",2,35.85
"Retailer",3,33.8
"Retailer",4,32.25
"Retailer",5,30.15
"Retailer",6,28.3
"Retailer",7,26.55
"Retailer",8,25.4
"Retailer",9,24.6
"Retailer",10,23.6
"Retailer",11,22.45
"Retailer",12,21.6
"Retailer",13,20.95
"Retailer",14,19.95
"Retailer",15,19.3
"Retailer",16,18.55
"Retailer",17,18.1
"Retailer",18,17.3
"Retailer",19,16.2
"Retailer",20,15.6
"Retailer",21,14.95
"Retailer",22,14.3
"Retailer",23,13.7
"Retailer",24,13.5
"Retailer",25,13
"Retailer",26,12.4
"Retailer",27,12.05
"Retailer",28,11.35
"Retailer",29,10.8
"Retailer",30,10.35
"Retailer",31,9.55
"Retailer",32,9.2
"Retailer",33,8.55
"Retailer",34,7
"Supplier",1,28.65
"Supplier",2,22.55
"Supplier",3,20.45
"Supplier",4,19.1
"Supplier",5,17.8
"Supplier",6,16.75
"Supplier",7,16.2
"Supplier",8,15.55
"Supplier",9,15.15
"Supplier",10,14.6
"Supplier",11,14.25
"Supplier",12,13.95
"Supplier",13,13.4
"Supplier",14,13.1
"Supplier",15,12.75
"Supplier",16,12.6
"Supplier",17,12.2
"Supplier",18,12
"Supplier",19,11.65
"Supplier",20,11.55
"Supplier",21,11.3
"Supplier",22,11.05
"Supplier",23,10.7
"Supplier",24,10.45
"Supplier",25,10.05
"Supplier",26,9.75
"Supplier",27,9.55
"Supplier",28,9.2
"Supplier",29,8.8
"Supplier",30,8.35
"Supplier",31,7.9
"Supplier",32,7.05
"Supplier",33,6.35
