"role","degree_order","avg_ordered_degree"
"Manufacturer",1,41.5
"Manufacturer",2,38.3
"Manufacturer",3,34.95
"Manufacturer",4,32.65
"Manufacturer",5,31.4
"Manufacturer",6,29.95
"Manufacturer",7,28.55
"Manufacturer",8,27.1
"Manufacturer",9,25.5
"Manufacturer",10,24.6
"Manufacturer",11,23.75
"Manufacturer",12,23.25
"Manufacturer",13,22.45
"Manufacturer",14,21.55
"Manufacturer",15,20.5
"Manufacturer",16,19.4
"Manufacturer",17,18.7
"Manufacturer",18,17.4
"Manufacturer",19,15.7
"Manufacturer",20,14.15
"Manufacturer",21,13.45
"Manufacturer",22,12.55
"Manufacturer",23,12
"Manufacturer",24,11.3
"Manufacturer",25,10.8
"Manufacturer",26,10.15
"Manufacturer",27,9.7
"Manufacturer",28,9.4
"Manufacturer",29,9
"Manufacturer",30,8.5
"Manufacturer",31,7.95
"Manufacturer",32,6.85
"Manufacturer",33,5.9
"Retailer",1,41.05
"Retailer",2,37.4
"Retailer",3,34.7
"Retailer",4,33.7
"Retailer",5,32.4
"Retailer",6,31.5
"Retailer",7,30.05
"Retailer",8,28.75
"Retailer",9,27.55
"Retailer",10,25.9
"Retailer",11,25
"Retailer",12,24.1
"Retailer",13,23.3
"Retailer",14,22.25
"Retailer",15,21.35
"Retailer",16,20.75
"Retailer",17,20.15
"Retailer",18,19.15
"Retailer",19,18.25
"Retailer",20,17.2
"Retailer",21,16.45
"Retailer",22,15.75
"Retailer",23,15.3
"Retailer",24,14.7
"Retailer",25,14
"Retailer",26,13.5
"Retailer",27,12.5
"Retailer",28,11.8
"Retailer",29,11.3
"Retailer",30,10.85
"Retailer",31,10.4
"Retailer",32,9.6
"Retailer",33,9
"Retailer",34,7.7
"Supplier",1,28.9
"Supplier",2,25.35
"Supplier",3,22.85
"Supplier",4,21.6
"Supplier",5,20.35
"Supplier",6,19.45
"Supplier",7,18.6
"Supplier",8,17.75
"Supplier",9,16.95
"Supplier",10,16.5
"Supplier",11,15.8
"Supplier",12,15.2
"Supplier",13,14.75
"Supplier",14,14.15
"Supplier",15,13.65
"Supplier",16,13.1
"Supplier",17,12.75
"Supplier",18,12.5
"Supplier",19,12.3
"Supplier",20,12.05
"Supplier",21,11.85
"Supplier",22,11.45
"Supplier",23,11.05
"Supplier",24,10.75
"Supplier",25,10.55
"Supplier",26,10.25
"Supplier",27,9.85
"Supplier",28,9.55
"Supplier",29,9.3
"Supplier",30,9.05
"Supplier",31,8.45
"Supplier",32,8
"Supplier",33,6.6
