"role","degree_order","avg_ordered_degree"
"Manufacturer",1,28.3
"Manufacturer",2,24
"Manufacturer",3,21.6
"Manufacturer",4,19.6
"Manufacturer",5,18.05
"Manufacturer",6,16.15
"Manufacturer",7,14.1
"Manufacturer",8,12.75
"Manufacturer",9,11.5
"Manufacturer",10,9.75
"Manufacturer",11,7.65
"Manufacturer",12,6.2
"Manufacturer",13,5
"Manufacturer",14,4.5
"Manufacturer",15,4.3
"Manufacturer",16,4
"Manufacturer",17,4
"Manufacturer",18,4
"Manufacturer",19,4
"Manufacturer",20,4
"Manufacturer",21,4
"Manufacturer",22,4
"Manufacturer",23,4
"Manufacturer",24,4
"Manufacturer",25,4
"Manufacturer",26,4
"Manufacturer",27,4
"Manufacturer",28,4
"Manufacturer",29,3.85
"Manufacturer",30,3.15
"Manufacturer",31,2.55
"Manufacturer",32,1.7
"Manufacturer",33,0.25
"Retailer",1,27.75
"Retailer",2,24.75
"Retailer",3,23.05
"Retailer",4,21.4
"Retailer",5,19.65
"Retailer",6,17.7
"Retailer",7,15.75
"Retailer",8,14.7
"Retailer",9,13.6
"Retailer",10,12.65
"Retailer",11,11.85
"Retailer",12,10.75
"Retailer",13,9.85
"Retailer",14,8.95
"Retailer",15,8.2
"Retailer",16,7.5
"Retailer",17,6.8
"Retailer",18,6.15
"Retailer",19,5.85
"Retailer",20,5.45
"Retailer",21,5.05
"Retailer",22,4.85
"Retailer",23,4.7
"Retailer",24,4.2
"Retailer",25,4.1
"Retailer",26,4.05
"Retailer",27,4
"Retailer",28,3.95
"Retailer",29,3.75
"Retailer",30,3.45
"Retailer",31,2.9
"Retailer",32,2.1
"Retailer",33,1.2
"Retailer",34,0.4
"Supplier",1,26
"Supplier",2,18
"Supplier",3,15
"Supplier",4,13
"Supplier",5,11
"Supplier",6,10
"Supplier",7,10
"Supplier",8,9
"Supplier",9,9
"Supplier",10,8
"Supplier",11,8
"Supplier",12,7
"Supplier",13,7
"Supplier",14,7
"Supplier",15,7
"Supplier",16,6
"Supplier",17,6
"Supplier",18,6
"Supplier",19,6
"Supplier",20,6
"Supplier",21,6
"Supplier",22,5
"Supplier",23,5
"Supplier",24,5
"Supplier",25,5
"Supplier",26,5
"Supplier",27,5
"Supplier",28,5
"Supplier",29,5
"Supplier",30,5
"Supplier",31,5
"Supplier",32,5
"Supplier",33,4
