"role","degree_order","avg_ordered_degree"
"Manufacturer",1,39
"Manufacturer",2,34
"Manufacturer",3,32.3
"Manufacturer",4,30.85
"Manufacturer",5,28.65
"Manufacturer",6,26.8
"Manufacturer",7,25.65
"Manufacturer",8,23.7
"Manufacturer",9,22.45
"Manufacturer",10,21.55
"Manufacturer",11,20.25
"Manufacturer",12,18.9
"Manufacturer",13,17.65
"Manufacturer",14,16.55
"Manufacturer",15,15.8
"Manufacturer",16,15.2
"Manufacturer",17,14.6
"Manufacturer",18,13.55
"Manufacturer",19,12.9
"Manufacturer",20,11.6
"Manufacturer",21,10.75
"Manufacturer",22,10.2
"Manufacturer",23,9.75
"Manufacturer",24,9.4
"Manufacturer",25,9
"Manufacturer",26,8.65
"Manufacturer",27,8.15
"Manufacturer",28,7.9
"Manufacturer",29,7.65
"Manufacturer",30,7.3
"Manufacturer",31,6.65
"Manufacturer",32,5.95
"Manufacturer",33,5.3
"Retailer",1,38.7
"Retailer",2,34.55
"Retailer",3,31.6
"Retailer",4,29.65
"Retailer",5,27.65
"Retailer",6,26.3
"Retailer",7,25.4
"Retailer",8,24.35
"Retailer",9,23.25
"Retailer",10,22
"Retailer",11,21
"Retailer",12,20.25
"Retailer",13,19.5
"Retailer",14,18.75
"Retailer",15,17.95
"Retailer",16,17.25
"Retailer",17,16.75
"Retailer",18,16.25
"Retailer",19,15.45
"Retailer",20,14.7
"Retailer",21,14.05
"Retailer",22,13.65
"Retailer",23,12.9
"Retailer",24,12.55
"Retailer",25,12
"Retailer",26,11.4
"Retailer",27,11
"Retailer",28,10.45
"Retailer",29,10
"Retailer",30,9.45
"Retailer",31,9.05
"Retailer",32,8.5
"Retailer",33,7.3
"Retailer",34,6.3
"Supplier",1,27.05
"Supplier",2,22.15
"Supplier",3,19.7
"Supplier",4,18.4
"Supplier",5,17.7
"Supplier",6,17
"Supplier",7,16.2
"Supplier",8,15.5
"Supplier",9,14.8
"Supplier",10,13.95
"Supplier",11,13.25
"Supplier",12,13.05
"Supplier",13,12.65
"Supplier",14,12.25
"Supplier",15,12.2
"Supplier",16,11.85
"Supplier",17,11.6
"Supplier",18,11.25
"Supplier",19,11
"Supplier",20,10.55
"Supplier",21,10.2
"Supplier",22,10.15
"Supplier",23,9.9
"Supplier",24,9.55
"Supplier",25,9.3
"Supplier",26,9
"Supplier",27,8.7
"Supplier",28,8.4
"Supplier",29,7.95
"Supplier",30,7.75
"Supplier",31,7.35
"Supplier",32,6.45
"Supplier",33,5.9
