"role","degree_order","avg_ordered_degree"
"Manufacturer",1,40.45
"Manufacturer",2,35.15
"Manufacturer",3,32.65
"Manufacturer",4,30.75
"Manufacturer",5,29.05
"Manufacturer",6,27.8
"Manufacturer",7,26.8
"Manufacturer",8,25.25
"Manufacturer",9,23.85
"Manufacturer",10,22.55
"Manufacturer",11,21.35
"Manufacturer",12,20.65
"Manufacturer",13,19.55
"Manufacturer",14,18.45
"Manufacturer",15,17.2
"Manufacturer",16,16.05
"Manufacturer",17,15.4
"Manufacturer",18,13.85
"Manufacturer",19,13.2
"Manufacturer",20,11.95
"Manufacturer",21,11.4
"Manufacturer",22,11
"Manufacturer",23,10.5
"Manufacturer",24,10.05
"Manufacturer",25,9.7
"Manufacturer",26,9.25
"Manufacturer",27,8.8
"Manufacturer",28,8.6
"Manufacturer",29,8.05
"Manufacturer",30,7.6
"Manufacturer",31,7.05
"Manufacturer",32,6.4
"Manufacturer",33,5.45
"Retailer",1,39.5
"Retailer",2,35.75
"Retailer",3,33.4
"Retailer",4,31.1
"Retailer",5,28.95
"Retailer",6,27.6
"Retailer",7,26.5
"Retailer",8,25.35
"Retailer",9,23.95
"Retailer",10,23.2
"Retailer",11,22.35
"Retailer",12,21.9
"Retailer",13,21.05
"Retailer",14,20.05
"Retailer",15,19.45
"Retailer",16,18.45
"Retailer",17,17.55
"Retailer",18,16.7
"Retailer",19,16.15
"Retailer",20,15.75
"Retailer",21,15.25
"Retailer",22,14.7
"Retailer",23,14.1
"Retailer",24,13.55
"Retailer",25,13.15
"Retailer",26,12.4
"Retailer",27,11.85
"Retailer",28,11.35
"Retailer",29,10.6
"Retailer",30,10.15
"Retailer",31,9.7
"Retailer",32,9.05
"Retailer",33,8.05
"Retailer",34,7
"Supplier",1,27.45
"Supplier",2,21.95
"Supplier",3,20
"Supplier",4,18.6
"Supplier",5,17.55
"Supplier",6,16.85
"Supplier",7,15.9
"Supplier",8,15.3
"Supplier",9,14.75
"Supplier",10,14.3
"Supplier",11,13.95
"Supplier",12,13.8
"Supplier",13,13.35
"Supplier",14,13.2
"Supplier",15,13.05
"Supplier",16,12.65
"Supplier",17,12.45
"Supplier",18,12.05
"Supplier",19,11.75
"Supplier",20,11.3
"Supplier",21,10.9
"Supplier",22,10.8
"Supplier",23,10.55
"Supplier",24,10.35
"Supplier",25,10.2
"Supplier",26,9.8
"Supplier",27,9.5
"Supplier",28,9.3
"Supplier",29,9
"Supplier",30,8.7
"Supplier",31,8
"Supplier",32,7.2
"Supplier",33,6.4
