"role","degree_order","avg_ordered_degree"
"Manufacturer",1,28.75
"Manufacturer",2,23.6
"Manufacturer",3,21.45
"Manufacturer",4,19.85
"Manufacturer",5,18.1
"Manufacturer",6,16.7
"Manufacturer",7,15.55
"Manufacturer",8,13.55
"Manufacturer",9,12.1
"Manufacturer",10,10
"Manufacturer",11,8.2
"Manufacturer",12,6.85
"Manufacturer",13,5.7
"Manufacturer",14,4.6
"Manufacturer",15,4.35
"Manufacturer",16,4
"Manufacturer",17,4
"Manufacturer",18,4
"Manufacturer",19,4
"Manufacturer",20,4
"Manufacturer",21,4
"Manufacturer",22,4
"Manufacturer",23,4
"Manufacturer",24,4
"Manufacturer",25,4
"Manufacturer",26,4
"Manufacturer",27,4
"Manufacturer",28,3.95
"Manufacturer",29,3.95
"Manufacturer",30,3.45
"Manufacturer",31,2.45
"Manufacturer",32,1.65
"Manufacturer",33,0.55
"Retailer",1,27.45
"Retailer",2,23.95
"Retailer",3,21.75
"Retailer",4,20.25
"Retailer",5,18.3
"Retailer",6,17.2
"Retailer",7,15.55
"Retailer",8,14.8
"Retailer",9,13.55
"Retailer",10,12.55
"Retailer",11,11.2
"Retailer",12,10.6
"Retailer",13,9.55
"Retailer",14,8.8
"Retailer",15,7.95
"Retailer",16,7.55
"Retailer",17,6.9
"Retailer",18,6.3
"Retailer",19,5.85
"Retailer",20,5.5
"Retailer",21,5.05
"Retailer",22,4.85
"Retailer",23,4.65
"Retailer",24,4.1
"Retailer",25,4.05
"Retailer",26,4
"Retailer",27,4
"Retailer",28,4
"Retailer",29,3.8
"Retailer",30,3.4
"Retailer",31,3
"Retailer",32,2.25
"Retailer",33,1.5
"Retailer",34,0.45
"Supplier",1,26
"Supplier",2,18
"Supplier",3,15
"Supplier",4,13
"Supplier",5,11
"Supplier",6,10
"Supplier",7,10
"Supplier",8,9
"Supplier",9,9
"Supplier",10,8
"Supplier",11,8
"Supplier",12,7
"Supplier",13,7
"Supplier",14,7
"Supplier",15,7
"Supplier",16,6
"Supplier",17,6
"Supplier",18,6
"Supplier",19,6
"Supplier",20,6
"Supplier",21,6
"Supplier",22,5
"Supplier",23,5
"Supplier",24,5
"Supplier",25,5
"Supplier",26,5
"Supplier",27,5
"Supplier",28,5
"Supplier",29,5
"Supplier",30,5
"Supplier",31,5
"Supplier",32,5
"Supplier",33,4
