"role","degree_order","avg_ordered_degree"
"Manufacturer",1,38.95
"Manufacturer",2,33.85
"Manufacturer",3,30.8
"Manufacturer",4,29.15
"Manufacturer",5,27.85
"Manufacturer",6,26.9
"Manufacturer",7,25
"Manufacturer",8,23.85
"Manufacturer",9,22.8
"Manufacturer",10,22.05
"Manufacturer",11,21.05
"Manufacturer",12,19.75
"Manufacturer",13,18.4
"Manufacturer",14,17.6
"Manufacturer",15,16.15
"Manufacturer",16,15.45
"Manufacturer",17,14.05
"Manufacturer",18,13.15
"Manufacturer",19,12.55
"Manufacturer",20,11.35
"Manufacturer",21,10.85
"Manufacturer",22,10.45
"Manufacturer",23,10.1
"Manufacturer",24,9.8
"Manufacturer",25,9.45
"Manufacturer",26,9.05
"Manufacturer",27,8.85
"Manufacturer",28,8.5
"Manufacturer",29,7.95
"Manufacturer",30,7.55
"Manufacturer",31,7.1
"Manufacturer",32,6.75
"Manufacturer",33,5.4
"Retailer",1,37.45
"Retailer",2,34
"Retailer",3,31.6
"Retailer",4,30.3
"Retailer",5,28.55
"Retailer",6,27.35
"Retailer",7,26.1
"Retailer",8,24.6
"Retailer",9,23.2
"Retailer",10,22.4
"Retailer",11,21.2
"Retailer",12,20.5
"Retailer",13,19.6
"Retailer",14,18.85
"Retailer",15,18.25
"Retailer",16,17.45
"Retailer",17,16.7
"Retailer",18,15.85
"Retailer",19,15.5
"Retailer",20,14.95
"Retailer",21,14.35
"Retailer",22,13.85
"Retailer",23,13.35
"Retailer",24,12.9
"Retailer",25,12.35
"Retailer",26,12
"Retailer",27,11.65
"Retailer",28,11.1
"Retailer",29,10.55
"Retailer",30,10.3
"Retailer",31,9.4
"Retailer",32,9
"Retailer",33,8
"Retailer",34,6.65
"Supplier",1,25.95
"Supplier",2,21.55
"Supplier",3,18.95
"Supplier",4,17.8
"Supplier",5,16.9
"Supplier",6,16.15
"Supplier",7,15.4
"Supplier",8,15.05
"Supplier",9,14.75
"Supplier",10,14.1
"Supplier",11,13.7
"Supplier",12,13.4
"Supplier",13,13.1
"Supplier",14,12.75
"Supplier",15,12.5
"Supplier",16,12.15
"Supplier",17,11.95
"Supplier",18,11.6
"Supplier",19,11.45
"Supplier",20,11.25
"Supplier",21,11.05
"Supplier",22,10.75
"Supplier",23,10.25
"Supplier",24,10.15
"Supplier",25,9.85
"Supplier",26,9.4
"Supplier",27,9.15
"Supplier",28,8.95
"Supplier",29,8.5
"Supplier",30,7.95
"Supplier",31,7.4
"Supplier",32,6.75
"Supplier",33,5.75
