"role","degree_order","avg_ordered_degree"
"Manufacturer",1,39.45
"Manufacturer",2,34.95
"Manufacturer",3,32.45
"Manufacturer",4,30.4
"Manufacturer",5,28.9
"Manufacturer",6,27.8
"Manufacturer",7,25.95
"Manufacturer",8,25.1
"Manufacturer",9,23.95
"Manufacturer",10,22.9
"Manufacturer",11,21.8
"Manufacturer",12,20.8
"Manufacturer",13,19.85
"Manufacturer",14,18.75
"Manufacturer",15,17.8
"Manufacturer",16,16.65
"Manufacturer",17,15.75
"Manufacturer",18,14.15
"Manufacturer",19,12.9
"Manufacturer",20,11.6
"Manufacturer",21,11.05
"Manufacturer",22,10.55
"Manufacturer",23,10.05
"Manufacturer",24,9.55
"Manufacturer",25,9.1
"Manufacturer",26,8.85
"Manufacturer",27,8.35
"Manufacturer",28,8.05
"Manufacturer",29,7.6
"Manufacturer",30,7.25
"Manufacturer",31,6.75
"Manufacturer",32,6.05
"Manufacturer",33,4.85
"Retailer",1,38.05
"Retailer",2,35.1
"Retailer",3,32
"Retailer",4,29.3
"Retailer",5,27.75
"Retailer",6,26.45
"Retailer",7,25.35
"Retailer",8,24.35
"Retailer",9,23.4
"Retailer",10,22.15
"Retailer",11,21.75
"Retailer",12,20.9
"Retailer",13,20.15
"Retailer",14,19.55
"Retailer",15,18.7
"Retailer",16,17.8
"Retailer",17,17.25
"Retailer",18,16.85
"Retailer",19,16
"Retailer",20,15.3
"Retailer",21,14.4
"Retailer",22,13.45
"Retailer",23,13.05
"Retailer",24,12.45
"Retailer",25,12.05
"Retailer",26,11.7
"Retailer",27,11.25
"Retailer",28,10.65
"Retailer",29,10.3
"Retailer",30,9.55
"Retailer",31,9.15
"Retailer",32,8.65
"Retailer",33,7.8
"Retailer",34,5.65
"Supplier",1,28.45
"Supplier",2,23.45
"Supplier",3,20.9
"Supplier",4,19.35
"Supplier",5,18.4
"Supplier",6,17.95
"Supplier",7,17.2
"Supplier",8,16.3
"Supplier",9,15.8
"Supplier",10,15.1
"Supplier",11,14.4
"Supplier",12,13.75
"Supplier",13,13.35
"Supplier",14,12.8
"Supplier",15,12.6
"Supplier",16,12.05
"Supplier",17,11.8
"Supplier",18,11.5
"Supplier",19,11.3
"Supplier",20,10.95
"Supplier",21,10.65
"Supplier",22,10.6
"Supplier",23,10.35
"Supplier",24,10.1
"Supplier",25,9.75
"Supplier",26,9.45
"Supplier",27,9.15
"Supplier",28,8.85
"Supplier",29,8.4
"Supplier",30,7.9
"Supplier",31,7.4
"Supplier",32,6.7
"Supplier",33,5.8
