"role","degree_order","avg_ordered_degree"
"Manufacturer",1,42.45
"Manufacturer",2,36.1
"Manufacturer",3,32.7
"Manufacturer",4,30.5
"Manufacturer",5,29.05
"Manufacturer",6,27.65
"Manufacturer",7,26.5
"Manufacturer",8,24.9
"Manufacturer",9,23.1
"Manufacturer",10,21.65
"Manufacturer",11,20.6
"Manufacturer",12,19.8
"Manufacturer",13,19.1
"Manufacturer",14,18.2
"Manufacturer",15,17.3
"Manufacturer",16,16.45
"Manufacturer",17,15.7
"Manufacturer",18,14.7
"Manufacturer",19,13.65
"Manufacturer",20,12.85
"Manufacturer",21,11.95
"Manufacturer",22,11.2
"Manufacturer",23,10.5
"Manufacturer",24,10
"Manufacturer",25,9.5
"Manufacturer",26,9.25
"Manufacturer",27,8.95
"Manufacturer",28,8.65
"Manufacturer",29,8.05
"Manufacturer",30,7.85
"Manufacturer",31,7.15
"Manufacturer",32,6.45
"Manufacturer",33,5.55
"Retailer",1,39.05
"Retailer",2,34.6
"Retailer",3,32
"Retailer",4,29.85
"Retailer",5,28
"Retailer",6,26.65
"Retailer",7,25.4
"Retailer",8,24.65
"Retailer",9,23.65
"Retailer",10,23.15
"Retailer",11,21.95
"Retailer",12,21.1
"Retailer",13,20.6
"Retailer",14,19.85
"Retailer",15,19.1
"Retailer",16,18.3
"Retailer",17,17.5
"Retailer",18,16.95
"Retailer",19,16.05
"Retailer",20,15.35
"Retailer",21,14.55
"Retailer",22,13.8
"Retailer",23,13.05
"Retailer",24,12.55
"Retailer",25,12.1
"Retailer",26,11.8
"Retailer",27,11.2
"Retailer",28,10.75
"Retailer",29,10.45
"Retailer",30,9.95
"Retailer",31,9.6
"Retailer",32,8.6
"Retailer",33,7.75
"Retailer",34,6.25
"Supplier",1,27.25
"Supplier",2,22.95
"Supplier",3,20.65
"Supplier",4,18.95
"Supplier",5,17.75
"Supplier",6,17.25
"Supplier",7,16.45
"Supplier",8,15.3
"Supplier",9,14.55
"Supplier",10,14.05
"Supplier",11,13.75
"Supplier",12,13.4
"Supplier",13,13.15
"Supplier",14,12.8
"Supplier",15,12.55
"Supplier",16,12
"Supplier",17,11.8
"Supplier",18,11.45
"Supplier",19,11.2
"Supplier",20,10.85
"Supplier",21,10.55
"Supplier",22,10.35
"Supplier",23,10.1
"Supplier",24,9.75
"Supplier",25,9.6
"Supplier",26,9.35
"Supplier",27,9
"Supplier",28,8.8
"Supplier",29,8.45
"Supplier",30,8.25
"Supplier",31,7.7
"Supplier",32,7.15
"Supplier",33,6.1
