"role","degree_order","avg_ordered_degree"
"Manufacturer",1,28.1
"Manufacturer",2,24.25
"Manufacturer",3,21.8
"Manufacturer",4,20.1
"Manufacturer",5,18.3
"Manufacturer",6,16.65
"Manufacturer",7,14.8
"Manufacturer",8,13.6
"Manufacturer",9,11.95
"Manufacturer",10,11.05
"Manufacturer",11,9.25
"Manufacturer",12,7.55
"Manufacturer",13,6.4
"Manufacturer",14,4.9
"Manufacturer",15,4.25
"Manufacturer",16,4
"Manufacturer",17,4
"Manufacturer",18,4
"Manufacturer",19,4
"Manufacturer",20,4
"Manufacturer",21,4
"Manufacturer",22,4
"Manufacturer",23,4
"Manufacturer",24,4
"Manufacturer",25,4
"Manufacturer",26,4
"Manufacturer",27,4
"Manufacturer",28,4
"Manufacturer",29,4
"Manufacturer",30,3.65
"Manufacturer",31,2.95
"Manufacturer",32,1.95
"Manufacturer",33,0.65
"Retailer",1,28.35
"Retailer",2,24.8
"Retailer",3,21.95
"Retailer",4,20.3
"Retailer",5,18.65
"Retailer",6,16.8
"Retailer",7,15.75
"Retailer",8,14.55
"Retailer",9,13.3
"Retailer",10,12.35
"Retailer",11,11.05
"Retailer",12,9.9
"Retailer",13,9.1
"Retailer",14,8.25
"Retailer",15,7.35
"Retailer",16,6.8
"Retailer",17,6.35
"Retailer",18,6.05
"Retailer",19,5.55
"Retailer",20,5.25
"Retailer",21,5
"Retailer",22,4.75
"Retailer",23,4.4
"Retailer",24,4.2
"Retailer",25,4
"Retailer",26,4
"Retailer",27,4
"Retailer",28,3.9
"Retailer",29,3.6
"Retailer",30,3.25
"Retailer",31,2.75
"Retailer",32,1.8
"Retailer",33,1.25
"Retailer",34,0.5
"Supplier",1,26
"Supplier",2,18
"Supplier",3,15
"Supplier",4,13
"Supplier",5,11
"Supplier",6,10
"Supplier",7,10
"Supplier",8,9
"Supplier",9,9
"Supplier",10,8
"Supplier",11,8
"Supplier",12,7
"Supplier",13,7
"Supplier",14,7
"Supplier",15,7
"Supplier",16,6
"Supplier",17,6
"Supplier",18,6
"Supplier",19,6
"Supplier",20,6
"Supplier",21,6
"Supplier",22,5
"Supplier",23,5
"Supplier",24,5
"Supplier",25,5
"Supplier",26,5
"Supplier",27,5
"Supplier",28,5
"Supplier",29,5
"Supplier",30,5
"Supplier",31,5
"Supplier",32,5
"Supplier",33,4
