"role","degree_order","avg_ordered_degree"
"Manufacturer",1,40.4
"Manufacturer",2,35.95
"Manufacturer",3,33.9
"Manufacturer",4,31.2
"Manufacturer",5,28.7
"Manufacturer",6,26.75
"Manufacturer",7,25.45
"Manufacturer",8,24.35
"Manufacturer",9,22.5
"Manufacturer",10,21.4
"Manufacturer",11,20.1
"Manufacturer",12,19.05
"Manufacturer",13,18.05
"Manufacturer",14,17.25
"Manufacturer",15,16.25
"Manufacturer",16,15.6
"Manufacturer",17,14.7
"Manufacturer",18,13.9
"Manufacturer",19,13
"Manufacturer",20,11.95
"Manufacturer",21,11.35
"Manufacturer",22,10.5
"Manufacturer",23,10
"Manufacturer",24,9.6
"Manufacturer",25,9.35
"Manufacturer",26,9.05
"Manufacturer",27,8.65
"Manufacturer",28,8.2
"Manufacturer",29,7.6
"Manufacturer",30,7.3
"Manufacturer",31,6.85
"Manufacturer",32,6.15
"Manufacturer",33,5.45
"Retailer",1,40.05
"Retailer",2,35.9
"Retailer",3,32.95
"Retailer",4,30.8
"Retailer",5,29.35
"Retailer",6,27.95
"Retailer",7,26.6
"Retailer",8,25.7
"Retailer",9,24.55
"Retailer",10,23.3
"Retailer",11,22.1
"Retailer",12,21.15
"Retailer",13,20.3
"Retailer",14,19.2
"Retailer",15,18.5
"Retailer",16,17.9
"Retailer",17,17.4
"Retailer",18,16.65
"Retailer",19,15.95
"Retailer",20,15.45
"Retailer",21,14.85
"Retailer",22,14.2
"Retailer",23,13.3
"Retailer",24,12.75
"Retailer",25,12.05
"Retailer",26,11.65
"Retailer",27,11
"Retailer",28,10.45
"Retailer",29,9.8
"Retailer",30,9.45
"Retailer",31,8.85
"Retailer",32,8.3
"Retailer",33,7.5
"Retailer",34,6.6
"Supplier",1,29.15
"Supplier",2,24.25
"Supplier",3,22.25
"Supplier",4,20.2
"Supplier",5,19.25
"Supplier",6,18.45
"Supplier",7,17.05
"Supplier",8,16.2
"Supplier",9,15.65
"Supplier",10,14.85
"Supplier",11,14.3
"Supplier",12,13.9
"Supplier",13,13.35
"Supplier",14,13
"Supplier",15,12.75
"Supplier",16,12.25
"Supplier",17,11.85
"Supplier",18,11.55
"Supplier",19,11.15
"Supplier",20,10.95
"Supplier",21,10.65
"Supplier",22,10.35
"Supplier",23,10.05
"Supplier",24,9.75
"Supplier",25,9.4
"Supplier",26,9.05
"Supplier",27,8.75
"Supplier",28,8.55
"Supplier",29,8.2
"Supplier",30,7.65
"Supplier",31,7.45
"Supplier",32,6.5
"Supplier",33,6
