"role","degree_order","avg_ordered_degree"
"Manufacturer",1,37.45
"Manufacturer",2,35.2
"Manufacturer",3,32.2
"Manufacturer",4,30.35
"Manufacturer",5,28.3
"Manufacturer",6,26.65
"Manufacturer",7,25.6
"Manufacturer",8,24.05
"Manufacturer",9,23.05
"Manufacturer",10,21.95
"Manufacturer",11,20.4
"Manufacturer",12,19.15
"Manufacturer",13,18.45
"Manufacturer",14,17.25
"Manufacturer",15,16.15
"Manufacturer",16,15.65
"Manufacturer",17,14.9
"Manufacturer",18,14.2
"Manufacturer",19,13.2
"Manufacturer",20,12.2
"Manufacturer",21,11.25
"Manufacturer",22,10.85
"Manufacturer",23,10.35
"Manufacturer",24,9.8
"Manufacturer",25,9.15
"Manufacturer",26,8.7
"Manufacturer",27,8.4
"Manufacturer",28,7.9
"Manufacturer",29,7.55
"Manufacturer",30,6.8
"Manufacturer",31,6.3
"Manufacturer",32,5.95
"Manufacturer",33,4.8
"Retailer",1,37.55
"Retailer",2,33.7
"Retailer",3,31.9
"Retailer",4,30.6
"Retailer",5,29.1
"Retailer",6,27.65
"Retailer",7,26.7
"Retailer",8,25.65
"Retailer",9,24.45
"Retailer",10,23.2
"Retailer",11,22.25
"Retailer",12,21.55
"Retailer",13,19.85
"Retailer",14,19.4
"Retailer",15,18.55
"Retailer",16,17.9
"Retailer",17,17
"Retailer",18,16.4
"Retailer",19,15.8
"Retailer",20,15.15
"Retailer",21,14.5
"Retailer",22,13.9
"Retailer",23,13.45
"Retailer",24,12.85
"Retailer",25,12.35
"Retailer",26,12.05
"Retailer",27,11.55
"Retailer",28,11.15
"Retailer",29,10.8
"Retailer",30,10.1
"Retailer",31,9.75
"Retailer",32,8.9
"Retailer",33,7.9
"Retailer",34,6.55
"Supplier",1,27.95
"Supplier",2,22.55
"Supplier",3,20.2
"Supplier",4,19.2
"Supplier",5,18.25
"Supplier",6,17.2
"Supplier",7,16.2
"Supplier",8,15.7
"Supplier",9,15.1
"Supplier",10,14.5
"Supplier",11,13.95
"Supplier",12,13.65
"Supplier",13,13.25
"Supplier",14,13
"Supplier",15,12.5
"Supplier",16,12.1
"Supplier",17,11.8
"Supplier",18,11.55
"Supplier",19,11.25
"Supplier",20,11.05
"Supplier",21,10.6
"Supplier",22,10.25
"Supplier",23,9.95
"Supplier",24,9.7
"Supplier",25,9.45
"Supplier",26,9.2
"Supplier",27,8.75
"Supplier",28,8.5
"Supplier",29,8.15
"Supplier",30,7.85
"Supplier",31,7.4
"Supplier",32,6.8
"Supplier",33,5.75
