"role","degree_order","avg_ordered_degree"
"Manufacturer",1,37.1
"Manufacturer",2,33.85
"Manufacturer",3,30.65
"Manufacturer",4,28.9
"Manufacturer",5,27.8
"Manufacturer",6,26.4
"Manufacturer",7,25.1
"Manufacturer",8,23.7
"Manufacturer",9,22.65
"Manufacturer",10,21.65
"Manufacturer",11,20.45
"Manufacturer",12,19.65
"Manufacturer",13,18.25
"Manufacturer",14,17.45
"Manufacturer",15,16.25
"Manufacturer",16,15.25
"Manufacturer",17,13.65
"Manufacturer",18,12.55
"Manufacturer",19,12.05
"Manufacturer",20,11.25
"Manufacturer",21,10.6
"Manufacturer",22,10.45
"Manufacturer",23,10.1
"Manufacturer",24,9.75
"Manufacturer",25,9.25
"Manufacturer",26,8.7
"Manufacturer",27,8.35
"Manufacturer",28,8
"Manufacturer",29,7.3
"Manufacturer",30,6.8
"Manufacturer",31,6.25
"Manufacturer",32,5.6
"Manufacturer",33,4.45
"Retailer",1,35.55
"Retailer",2,32.55
"Retailer",3,31.05
"Retailer",4,29.25
"Retailer",5,27.7
"Retailer",6,26.35
"Retailer",7,25.15
"Retailer",8,24.3
"Retailer",9,23.55
"Retailer",10,22.9
"Retailer",11,21.85
"Retailer",12,20.7
"Retailer",13,19.55
"Retailer",14,18.65
"Retailer",15,17.85
"Retailer",16,17.1
"Retailer",17,16.65
"Retailer",18,15.85
"Retailer",19,15.15
"Retailer",20,14.4
"Retailer",21,13.5
"Retailer",22,13.05
"Retailer",23,12.8
"Retailer",24,12.2
"Retailer",25,11.85
"Retailer",26,11.5
"Retailer",27,10.95
"Retailer",28,10.4
"Retailer",29,9.85
"Retailer",30,9.45
"Retailer",31,8.75
"Retailer",32,8.35
"Retailer",33,7.45
"Retailer",34,6.4
"Supplier",1,27.6
"Supplier",2,21.85
"Supplier",3,19.25
"Supplier",4,17.85
"Supplier",5,16.95
"Supplier",6,16.3
"Supplier",7,15.5
"Supplier",8,15.05
"Supplier",9,14.65
"Supplier",10,14.3
"Supplier",11,14
"Supplier",12,13.8
"Supplier",13,13.5
"Supplier",14,13.25
"Supplier",15,13
"Supplier",16,12.55
"Supplier",17,12.4
"Supplier",18,11.95
"Supplier",19,11.6
"Supplier",20,11.4
"Supplier",21,11.1
"Supplier",22,10.45
"Supplier",23,10.1
"Supplier",24,9.95
"Supplier",25,9.75
"Supplier",26,9.35
"Supplier",27,8.9
"Supplier",28,8.5
"Supplier",29,8.25
"Supplier",30,7.75
"Supplier",31,7.35
"Supplier",32,6.55
"Supplier",33,5.55
