"role","degree_order","avg_ordered_degree"
"Manufacturer",1,39.9
"Manufacturer",2,35
"Manufacturer",3,32.6
"Manufacturer",4,31
"Manufacturer",5,29.5
"Manufacturer",6,27.6
"Manufacturer",7,25.95
"Manufacturer",8,25.15
"Manufacturer",9,24.5
"Manufacturer",10,23.3
"Manufacturer",11,22.7
"Manufacturer",12,21.85
"Manufacturer",13,20.85
"Manufacturer",14,19.8
"Manufacturer",15,18.4
"Manufacturer",16,16.5
"Manufacturer",17,15.65
"Manufacturer",18,14.6
"Manufacturer",19,13.75
"Manufacturer",20,12.95
"Manufacturer",21,12.3
"Manufacturer",22,11.8
"Manufacturer",23,11.2
"Manufacturer",24,10.7
"Manufacturer",25,10.2
"Manufacturer",26,9.85
"Manufacturer",27,9.5
"Manufacturer",28,9.1
"Manufacturer",29,8.6
"Manufacturer",30,8.05
"Manufacturer",31,7.6
"Manufacturer",32,6.9
"Manufacturer",33,5.75
"Retailer",1,39.45
"Retailer",2,35.5
"Retailer",3,33.6
"Retailer",4,31.45
"Retailer",5,29.65
"Retailer",6,28.4
"Retailer",7,27
"Retailer",8,25.6
"Retailer",9,25.05
"Retailer",10,24.2
"Retailer",11,23.4
"Retailer",12,22.7
"Retailer",13,21.85
"Retailer",14,21.1
"Retailer",15,20.35
"Retailer",16,19.3
"Retailer",17,18.65
"Retailer",18,17.55
"Retailer",19,16.8
"Retailer",20,16.05
"Retailer",21,15.35
"Retailer",22,14.35
"Retailer",23,13.85
"Retailer",24,13.15
"Retailer",25,12.45
"Retailer",26,12
"Retailer",27,11.65
"Retailer",28,11.1
"Retailer",29,10.45
"Retailer",30,9.95
"Retailer",31,9.55
"Retailer",32,9.05
"Retailer",33,8.35
"Retailer",34,7.2
"Supplier",1,27.5
"Supplier",2,23.05
"Supplier",3,20.45
"Supplier",4,19
"Supplier",5,18.15
"Supplier",6,17.65
"Supplier",7,17.05
"Supplier",8,16.7
"Supplier",9,16.25
"Supplier",10,15.75
"Supplier",11,15.35
"Supplier",12,14.65
"Supplier",13,14.3
"Supplier",14,13.75
"Supplier",15,13.4
"Supplier",16,13.05
"Supplier",17,12.8
"Supplier",18,12.35
"Supplier",19,12.15
"Supplier",20,11.85
"Supplier",21,11.55
"Supplier",22,11.25
"Supplier",23,10.9
"Supplier",24,10.7
"Supplier",25,10.5
"Supplier",26,10.15
"Supplier",27,9.9
"Supplier",28,9.65
"Supplier",29,9.25
"Supplier",30,9
"Supplier",31,8.35
"Supplier",32,8.05
"Supplier",33,6.65
