"role","degree_order","avg_ordered_degree"
"Manufacturer",1,28.05
"Manufacturer",2,24.2
"Manufacturer",3,22.25
"Manufacturer",4,19.95
"Manufacturer",5,17.9
"Manufacturer",6,16.5
"Manufacturer",7,15.3
"Manufacturer",8,14
"Manufacturer",9,12.85
"Manufacturer",10,10.9
"Manufacturer",11,9.15
"Manufacturer",12,7.1
"Manufacturer",13,5.1
"Manufacturer",14,4.3
"Manufacturer",15,4
"Manufacturer",16,4
"Manufacturer",17,4
"Manufacturer",18,4
"Manufacturer",19,4
"Manufacturer",20,4
"Manufacturer",21,4
"Manufacturer",22,4
"Manufacturer",23,4
"Manufacturer",24,4
"Manufacturer",25,4
"Manufacturer",26,4
"Manufacturer",27,4
"Manufacturer",28,3.95
"Manufacturer",29,3.8
"Manufacturer",30,3.3
"Manufacturer",31,2.35
"Manufacturer",32,1.2
"Manufacturer",33,0.35
"Retailer",1,28.15
"Retailer",2,24.95
"Retailer",3,22.55
"Retailer",4,20.1
"Retailer",5,18.35
"Retailer",6,17.2
"Retailer",7,15.85
"Retailer",8,14.95
"Retailer",9,14
"Retailer",10,12.7
"Retailer",11,11.55
"Retailer",12,10.35
"Retailer",13,9.6
"Retailer",14,8.45
"Retailer",15,7.55
"Retailer",16,6.9
"Retailer",17,6.35
"Retailer",18,5.85
"Retailer",19,5.65
"Retailer",20,5.15
"Retailer",21,4.95
"Retailer",22,4.7
"Retailer",23,4.4
"Retailer",24,4.2
"Retailer",25,4.05
"Retailer",26,4
"Retailer",27,3.95
"Retailer",28,3.9
"Retailer",29,3.65
"Retailer",30,3.1
"Retailer",31,2.8
"Retailer",32,2.2
"Retailer",33,1.15
"Retailer",34,0.25
"Supplier",1,26
"Supplier",2,18
"Supplier",3,15
"Supplier",4,13
"Supplier",5,11
"Supplier",6,10
"Supplier",7,10
"Supplier",8,9
"Supplier",9,9
"Supplier",10,8
"Supplier",11,8
"Supplier",12,7
"Supplier",13,7
"Supplier",14,7
"Supplier",15,7
"Supplier",16,6
"Supplier",17,6
"Supplier",18,6
"Supplier",19,6
"Supplier",20,6
"Supplier",21,6
"Supplier",22,5
"Supplier",23,5
"Supplier",24,5
"Supplier",25,5
"Supplier",26,5
"Supplier",27,5
"Supplier",28,5
"Supplier",29,5
"Supplier",30,5
"Supplier",31,5
"Supplier",32,5
"Supplier",33,4
