"role","degree_order","avg_ordered_degree"
"Manufacturer",1,38.15
"Manufacturer",2,33.85
"Manufacturer",3,31.5
"Manufacturer",4,29.6
"Manufacturer",5,28.05
"Manufacturer",6,26.25
"Manufacturer",7,24.75
"Manufacturer",8,23.95
"Manufacturer",9,22.5
"Manufacturer",10,21.15
"Manufacturer",11,20.55
"Manufacturer",12,19.65
"Manufacturer",13,18.9
"Manufacturer",14,18.15
"Manufacturer",15,16.9
"Manufacturer",16,16.15
"Manufacturer",17,14.9
"Manufacturer",18,13.95
"Manufacturer",19,13.05
"Manufacturer",20,12.2
"Manufacturer",21,11.4
"Manufacturer",22,10.8
"Manufacturer",23,10.15
"Manufacturer",24,9.6
"Manufacturer",25,9.15
"Manufacturer",26,8.8
"Manufacturer",27,8.6
"Manufacturer",28,8.25
"Manufacturer",29,7.9
"Manufacturer",30,7.25
"Manufacturer",31,6.9
"Manufacturer",32,6.35
"Manufacturer",33,5.4
"Retailer",1,38.1
"Retailer",2,35.4
"Retailer",3,32.35
"Retailer",4,30.5
"Retailer",5,28.75
"Retailer",6,27.05
"Retailer",7,25.55
"Retailer",8,24.55
"Retailer",9,23.65
"Retailer",10,22.5
"Retailer",11,21.55
"Retailer",12,20.9
"Retailer",13,20.4
"Retailer",14,19.55
"Retailer",15,18.85
"Retailer",16,18.1
"Retailer",17,17.25
"Retailer",18,16.85
"Retailer",19,16
"Retailer",20,15.5
"Retailer",21,14.9
"Retailer",22,13.95
"Retailer",23,12.85
"Retailer",24,12.25
"Retailer",25,11.8
"Retailer",26,11.45
"Retailer",27,11.05
"Retailer",28,10.55
"Retailer",29,10.15
"Retailer",30,9.75
"Retailer",31,9.25
"Retailer",32,8.75
"Retailer",33,8.15
"Retailer",34,6.6
"Supplier",1,27.75
"Supplier",2,21.9
"Supplier",3,20.05
"Supplier",4,18.55
"Supplier",5,17.2
"Supplier",6,16.65
"Supplier",7,16.05
"Supplier",8,15.45
"Supplier",9,15.15
"Supplier",10,14.8
"Supplier",11,13.85
"Supplier",12,13.5
"Supplier",13,13.2
"Supplier",14,12.7
"Supplier",15,12.45
"Supplier",16,12.1
"Supplier",17,11.85
"Supplier",18,11.55
"Supplier",19,11.35
"Supplier",20,11.1
"Supplier",21,10.85
"Supplier",22,10.45
"Supplier",23,10.2
"Supplier",24,10.15
"Supplier",25,9.95
"Supplier",26,9.65
"Supplier",27,9.3
"Supplier",28,9.15
"Supplier",29,8.85
"Supplier",30,8.7
"Supplier",31,7.95
"Supplier",32,7.4
"Supplier",33,5.9
