"role","degree_order","avg_ordered_degree"
"Manufacturer",1,36.35
"Manufacturer",2,32.85
"Manufacturer",3,30.2
"Manufacturer",4,27.45
"Manufacturer",5,26.05
"Manufacturer",6,24.9
"Manufacturer",7,24.25
"Manufacturer",8,23.65
"Manufacturer",9,22.4
"Manufacturer",10,21.35
"Manufacturer",11,20.7
"Manufacturer",12,19.55
"Manufacturer",13,18.8
"Manufacturer",14,18.1
"Manufacturer",15,16.65
"Manufacturer",16,15.4
"Manufacturer",17,14.3
"Manufacturer",18,13.65
"Manufacturer",19,12.85
"Manufacturer",20,11.65
"Manufacturer",21,11.3
"Manufacturer",22,10.9
"Manufacturer",23,10.45
"Manufacturer",24,10.05
"Manufacturer",25,9.55
"Manufacturer",26,9.1
"Manufacturer",27,8.65
"Manufacturer",28,8.35
"Manufacturer",29,7.75
"Manufacturer",30,7.15
"Manufacturer",31,6.95
"Manufacturer",32,6.1
"Manufacturer",33,5.45
"Retailer",1,37.9
"Retailer",2,33.7
"Retailer",3,30.3
"Retailer",4,28.6
"Retailer",5,26.65
"Retailer",6,25.75
"Retailer",7,24.9
"Retailer",8,24
"Retailer",9,22.95
"Retailer",10,22.1
"Retailer",11,21
"Retailer",12,20.2
"Retailer",13,19.8
"Retailer",14,18.75
"Retailer",15,18
"Retailer",16,17.05
"Retailer",17,16.5
"Retailer",18,15.75
"Retailer",19,15
"Retailer",20,14.15
"Retailer",21,13.65
"Retailer",22,13.15
"Retailer",23,12.45
"Retailer",24,12.35
"Retailer",25,11.85
"Retailer",26,11.2
"Retailer",27,10.75
"Retailer",28,10.4
"Retailer",29,9.8
"Retailer",30,9.4
"Retailer",31,8.9
"Retailer",32,8.1
"Retailer",33,7.35
"Retailer",34,5.9
"Supplier",1,26.75
"Supplier",2,21.05
"Supplier",3,19.25
"Supplier",4,17.8
"Supplier",5,17
"Supplier",6,16.4
"Supplier",7,15.45
"Supplier",8,14.95
"Supplier",9,14.5
"Supplier",10,14.05
"Supplier",11,13.75
"Supplier",12,13.2
"Supplier",13,12.95
"Supplier",14,12.45
"Supplier",15,12.1
"Supplier",16,11.8
"Supplier",17,11.5
"Supplier",18,11.25
"Supplier",19,11.1
"Supplier",20,10.65
"Supplier",21,10.35
"Supplier",22,10.1
"Supplier",23,9.8
"Supplier",24,9.5
"Supplier",25,9.2
"Supplier",26,9
"Supplier",27,8.8
"Supplier",28,8.5
"Supplier",29,8.1
"Supplier",30,7.85
"Supplier",31,7
"Supplier",32,6.4
"Supplier",33,5.5
