"role","degree_order","avg_ordered_degree"
"Manufacturer",1,39.2
"Manufacturer",2,35.4
"Manufacturer",3,33.05
"Manufacturer",4,30.7
"Manufacturer",5,28.9
"Manufacturer",6,27.35
"Manufacturer",7,26.55
"Manufacturer",8,24.95
"Manufacturer",9,24.2
"Manufacturer",10,23.1
"Manufacturer",11,22
"Manufacturer",12,20.8
"Manufacturer",13,20.05
"Manufacturer",14,19.25
"Manufacturer",15,18.3
"Manufacturer",16,16.55
"Manufacturer",17,15.2
"Manufacturer",18,14.65
"Manufacturer",19,13.55
"Manufacturer",20,13
"Manufacturer",21,12.45
"Manufacturer",22,11.9
"Manufacturer",23,11.45
"Manufacturer",24,10.95
"Manufacturer",25,10.5
"Manufacturer",26,10.15
"Manufacturer",27,9.9
"Manufacturer",28,9.45
"Manufacturer",29,9.05
"Manufacturer",30,8.45
"Manufacturer",31,7.85
"Manufacturer",32,7.2
"Manufacturer",33,6.2
"Retailer",1,39
"Retailer",2,35.15
"Retailer",3,33.2
"Retailer",4,31.5
"Retailer",5,30.45
"Retailer",6,29.25
"Retailer",7,28.05
"Retailer",8,27.05
"Retailer",9,25.4
"Retailer",10,24.45
"Retailer",11,23.75
"Retailer",12,23.05
"Retailer",13,21.65
"Retailer",14,20.45
"Retailer",15,19.9
"Retailer",16,19.1
"Retailer",17,18.4
"Retailer",18,17.65
"Retailer",19,16.65
"Retailer",20,15.7
"Retailer",21,14.8
"Retailer",22,14.35
"Retailer",23,13.7
"Retailer",24,13.15
"Retailer",25,12.5
"Retailer",26,12.1
"Retailer",27,11.55
"Retailer",28,11.25
"Retailer",29,10.75
"Retailer",30,10
"Retailer",31,9.65
"Retailer",32,8.45
"Retailer",33,7.75
"Retailer",34,6.5
"Supplier",1,28.5
"Supplier",2,22.95
"Supplier",3,20.2
"Supplier",4,19.25
"Supplier",5,17.9
"Supplier",6,17.05
"Supplier",7,16.6
"Supplier",8,16.2
"Supplier",9,15.6
"Supplier",10,15.1
"Supplier",11,14.85
"Supplier",12,14.35
"Supplier",13,14
"Supplier",14,13.7
"Supplier",15,13.35
"Supplier",16,13.15
"Supplier",17,12.7
"Supplier",18,12.55
"Supplier",19,12.3
"Supplier",20,11.95
"Supplier",21,11.85
"Supplier",22,11.5
"Supplier",23,11.25
"Supplier",24,11
"Supplier",25,10.7
"Supplier",26,10.55
"Supplier",27,10.2
"Supplier",28,9.9
"Supplier",29,9.6
"Supplier",30,9.2
"Supplier",31,8.7
"Supplier",32,8.1
"Supplier",33,7.15
