"role","degree_order","avg_ordered_degree"
"Manufacturer",1,28.9
"Manufacturer",2,25.25
"Manufacturer",3,22.65
"Manufacturer",4,20.4
"Manufacturer",5,18.45
"Manufacturer",6,17.55
"Manufacturer",7,16.5
"Manufacturer",8,14.75
"Manufacturer",9,12.95
"Manufacturer",10,11.5
"Manufacturer",11,10.3
"Manufacturer",12,8.35
"Manufacturer",13,5.85
"Manufacturer",14,4.8
"Manufacturer",15,4.45
"Manufacturer",16,4.05
"Manufacturer",17,4
"Manufacturer",18,4
"Manufacturer",19,4
"Manufacturer",20,4
"Manufacturer",21,4
"Manufacturer",22,4
"Manufacturer",23,4
"Manufacturer",24,4
"Manufacturer",25,4
"Manufacturer",26,4
"Manufacturer",27,4
"Manufacturer",28,3.95
"Manufacturer",29,3.9
"Manufacturer",30,3.45
"Manufacturer",31,2.65
"Manufacturer",32,1.65
"Manufacturer",33,0.85
"Retailer",1,26.6
"Retailer",2,23.55
"Retailer",3,21.7
"Retailer",4,19.3
"Retailer",5,17.5
"Retailer",6,16.15
"Retailer",7,15.15
"Retailer",8,14.1
"Retailer",9,13
"Retailer",10,12.2
"Retailer",11,11.25
"Retailer",12,10.2
"Retailer",13,9.3
"Retailer",14,8.2
"Retailer",15,7.4
"Retailer",16,6.85
"Retailer",17,6.35
"Retailer",18,5.85
"Retailer",19,5.45
"Retailer",20,5
"Retailer",21,4.95
"Retailer",22,4.7
"Retailer",23,4.3
"Retailer",24,4.15
"Retailer",25,4
"Retailer",26,4
"Retailer",27,3.95
"Retailer",28,3.8
"Retailer",29,3.4
"Retailer",30,3
"Retailer",31,2.55
"Retailer",32,1.7
"Retailer",33,1
"Retailer",34,0.25
"Supplier",1,26
"Supplier",2,18
"Supplier",3,15
"Supplier",4,13
"Supplier",5,11
"Supplier",6,10
"Supplier",7,10
"Supplier",8,9
"Supplier",9,9
"Supplier",10,8
"Supplier",11,8
"Supplier",12,7
"Supplier",13,7
"Supplier",14,7
"Supplier",15,7
"Supplier",16,6
"Supplier",17,6
"Supplier",18,6
"Supplier",19,6
"Supplier",20,6
"Supplier",21,6
"Supplier",22,5
"Supplier",23,5
"Supplier",24,5
"Supplier",25,5
"Supplier",26,5
"Supplier",27,5
"Supplier",28,5
"Supplier",29,5
"Supplier",30,5
"Supplier",31,5
"Supplier",32,5
"Supplier",33,4
