"role","degree_order","avg_ordered_degree"
"Manufacturer",1,27.9
"Manufacturer",2,24.5
"Manufacturer",3,22
"Manufacturer",4,20.5
"Manufacturer",5,19
"Manufacturer",6,16.65
"Manufacturer",7,14.9
"Manufacturer",8,13.05
"Manufacturer",9,11.85
"Manufacturer",10,10.15
"Manufacturer",11,8.1
"Manufacturer",12,6.15
"Manufacturer",13,5.25
"Manufacturer",14,4.6
"Manufacturer",15,4
"Manufacturer",16,4
"Manufacturer",17,4
"Manufacturer",18,4
"Manufacturer",19,4
"Manufacturer",20,4
"Manufacturer",21,4
"Manufacturer",22,4
"Manufacturer",23,4
"Manufacturer",24,4
"Manufacturer",25,4
"Manufacturer",26,4
"Manufacturer",27,4
"Manufacturer",28,3.9
"Manufacturer",29,3.8
"Manufacturer",30,3.3
"Manufacturer",31,2.7
"Manufacturer",32,1.5
"Manufacturer",33,0.2
"Retailer",1,30
"Retailer",2,25.05
"Retailer",3,21.95
"Retailer",4,20.4
"Retailer",5,19.05
"Retailer",6,17.4
"Retailer",7,16.05
"Retailer",8,14.65
"Retailer",9,13.8
"Retailer",10,12.8
"Retailer",11,11.7
"Retailer",12,10.65
"Retailer",13,9.6
"Retailer",14,8.65
"Retailer",15,7.65
"Retailer",16,7.15
"Retailer",17,6.4
"Retailer",18,6.1
"Retailer",19,5.7
"Retailer",20,5.3
"Retailer",21,4.95
"Retailer",22,4.85
"Retailer",23,4.4
"Retailer",24,4.25
"Retailer",25,4
"Retailer",26,4
"Retailer",27,3.9
"Retailer",28,3.9
"Retailer",29,3.6
"Retailer",30,3.1
"Retailer",31,2.45
"Retailer",32,1.5
"Retailer",33,0.75
"Retailer",34,0.3
"Supplier",1,26
"Supplier",2,18
"Supplier",3,15
"Supplier",4,13
"Supplier",5,11
"Supplier",6,10
"Supplier",7,10
"Supplier",8,9
"Supplier",9,9
"Supplier",10,8
"Supplier",11,8
"Supplier",12,7
"Supplier",13,7
"Supplier",14,7
"Supplier",15,7
"Supplier",16,6
"Supplier",17,6
"Supplier",18,6
"Supplier",19,6
"Supplier",20,6
"Supplier",21,6
"Supplier",22,5
"Supplier",23,5
"Supplier",24,5
"Supplier",25,5
"Supplier",26,5
"Supplier",27,5
"Supplier",28,5
"Supplier",29,5
"Supplier",30,5
"Supplier",31,5
"Supplier",32,5
"Supplier",33,4
